system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh
aya canary-v2,0.6314127861089187,2.2518183647845333,2.372356028287968,0.9325589840289356,0.9285854974963011,0.0,2.4230833647364545,2.4230833647364545,0.8993161994859552,0.8993161994859552,0.15847860538827258,2.6816957380368764,2.705600920072779,0.9337240474242511,0.9328946749755017,0.0,2.143016716197007,2.143016716197007,0.9282947588964539,0.9282947588964539,0.1596169193934557,1.2838120913788593,1.3147605127831126,0.9639122902288593,0.9630312769415849,0.24291497975708504,2.19064844132435,2.2320115049358322,0.9442508915235639,0.9428726685915881,0.1596169193934557,2.5363294399787164,2.562549394777629,0.8652166173111793,0.8645229999389252
gemma canary-v2,0.4735595895816891,2.2686324633816706,2.3610206053319556,0.9274906213288714,0.9240905234579881,0.08237232289950577,2.503858822574333,2.5202209103048534,0.8915120909631842,0.8913482163267139,0.31695721077654515,2.8405944829166123,2.8989012973846515,0.9306798705952197,0.928413641941623,0.17699115044247787,2.28136167103606,2.3047701489542964,0.9225516461824949,0.9216757934837214,0.1596169193934557,1.5034762404781765,1.5344246618824298,0.9581851866705743,0.9573041733832999,0.24291497975708504,2.3194848992594097,2.3709513321971363,0.9396451334540661,0.9379415628881107,0.0,2.5269384928380645,2.5269384928380645,0.8570562180336817,0.8570562180336817
tower canary-v2,0.5524861878453038,2.2819429939258447,2.394170950019134,0.9332154382611224,0.9289697484652076,0.08237232289950577,2.537888015612739,2.55438229760778,0.9015139130663734,0.9011086091411468,0.39619651347068147,2.805426938412047,2.880094734503166,0.9357393049943467,0.9327008053601354,0.17699115044247787,2.302722529776856,2.3306131846741236,0.9257528308482297,0.925099288705176,0.1596169193934557,1.2558484548065108,1.286796876210764,0.9649596672329728,0.9640786539456984,0.32388663967611336,1.9611573751397462,2.0265321801186573,0.9494976321273004,0.9472892879233187,0.0,2.4353500222794695,2.4353500222794695,0.8740524568811285,0.8740524568811285
aya owsm4.0-ctc,0.5524861878453038,2.799199294260664,2.9218771355469206,0.91210063306972,0.9071702903582058,0.0,2.9397814393203086,2.9397814393203086,0.8724048022776105,0.8724048022776105,0.15847860538827258,3.245448124631885,3.2729565489464534,0.9161874704334513,0.9157820645772901,0.35398230088495575,2.7560625526559566,2.8217947785635435,0.9021256744383579,0.8996916969315009,0.1596169193934557,1.7039042743843076,1.7363551430766904,0.9530654332681551,0.9516451104298079,0.32388663967611336,2.6112955486122895,2.6844217700393576,0.9249889318276996,0.9218147495980205,0.07980845969672785,2.822207764674094,2.8369766261996454,0.8441539003237999,0.8435840758287659
gemma owsm4.0-ctc,0.4735595895816891,2.822311722518378,2.9169854816540357,0.9060069488180653,0.902312191639863,0.16474464579901155,3.095704470781066,3.1166700907481166,0.8585464966036932,0.8576776165901829,0.39619651347068147,3.421804593914379,3.5036200185183866,0.912195806702962,0.909624415982615,0.17699115044247787,2.873893690722442,2.896361748287372,0.8956535492281932,0.8946873474066698,0.23942537909018355,1.87552719413699,1.9230494038941426,0.9467118030617643,0.9451684276829789,0.32388663967611336,2.7423066341985574,2.819473564425702,0.9182854086643288,0.9157304055053695,0.1596169193934557,2.8115237729872167,2.8367244345117406,0.8349407955778188,0.8346551348591269
tower owsm4.0-ctc,0.5524861878453038,2.966668475836798,3.0792741298163935,0.9080964722924211,0.9036759235620522,0.08237232289950577,3.1134045329527957,3.1158093853532973,0.870996947269856,0.8709090195866256,0.39619651347068147,3.413442535319981,3.4741594536811493,0.914763280983111,0.9132684303975993,0.35398230088495575,2.7982013875206486,2.8555705023880025,0.9032047708840233,0.9006362141794072,0.23942537909018355,1.691548573553372,1.7263294428955624,0.9510045039860706,0.9494989898118227,0.32388663967611336,2.4304256751258606,2.4923242135719974,0.9314030401227686,0.9288939217113049,0.1596169193934557,2.7675045069428985,2.7813704025300616,0.8512578574555546,0.8507388165638339
desta2-8b,1.5785319652722969,8.113597670971359,8.290100211690708,0.6453499208135445,0.6405655541286793,0.9060955518945634,8.332453096509472,8.429766074817204,0.5280644769551727,0.5258337489438214,1.7432646592709984,9.241102207286753,9.426635497056314,0.6298225541103176,0.6240376541169623,1.592920353982301,8.73091418526869,8.903060515422737,0.5796659326279717,0.57625045709279,0.8778930566640064,6.605311019184084,6.702516453116181,0.6962300726500208,0.6935253568939086,2.186234817813765,8.629482858229865,8.87434878839474,0.6378400566833101,0.6307110553298161,30.24740622505986,10.406402148062575,12.406761782985635,0.4337954375363666,0.38378010789662337
qwen2audio-7b,1.420678768745067,3.9188267438486513,4.126108081013129,0.8505623760179638,0.8395775209791847,0.9060955518945634,3.7499380145694516,3.847572375819259,0.8367670252919197,0.8313724750029982,1.4263074484944533,4.404510629902079,4.65697970427868,0.8710937753095397,0.8621060118114608,1.1504424778761062,4.20127136125765,4.378283371426891,0.8350214306693688,0.8252913856862393,1.1971268954509178,2.8251172105223534,3.0597474535708655,0.9157737131986443,0.9061994569856267,1.214574898785425,4.658263511913508,4.806687330355046,0.837839453251135,0.8297780855675699,0.23942537909018355,3.2593900866699475,3.2858619781720906,0.7973799682612526,0.7954049616493136
phi4multimodal,16.101026045777427,5.766646801472745,6.720135351559169,0.9073672830108803,0.762966174213326,48.84678747940691,12.302030454664392,14.211773211237725,0.8884272400283637,0.43412165861128776,19.809825673534075,7.271152640626472,8.47175792662542,0.8911398437764148,0.7176814943739462,12.389380530973451,5.690448200096071,6.44509856861777,0.8767365644232625,0.7660275809170134,21.707901037509977,5.970193762344094,7.08541203873843,0.9407235889889579,0.7407564396679354,26.396761133603242,9.228551079438404,10.677436415051762,0.8524735096796804,0.6162953998154475,9.896249002394255,4.746084303531948,5.473731426351183,0.827776211724934,0.740047534459463
voxtral-small-24b,0.3946329913180742,2.393180728279166,2.4756327330648618,0.9272990353587771,0.9240238538398551,0.16474464579901155,2.670839980932005,2.704011562800486,0.8923878642244041,0.8920318167134996,0.31695721077654515,3.0202475700987925,3.0841662950146644,0.9257627112404244,0.9241324190475436,0.2654867256637168,2.436862603449716,2.496581162512302,0.9168430859470262,0.9144272479269885,0.1596169193934557,1.3960325838990528,1.4310946471198311,0.9577698506718146,0.9563675310049453,0.24291497975708504,2.2036361631021086,2.260834703998648,0.9351844632311871,0.9328425012740046,0.0,2.6702221357497757,2.6702221357497757,0.8542358437753732,0.8542358437753732
