system,LinguaPy,,,,,metricx_qe_score,,,,,QEMetricX_24-Strict-linguapy,,,,,xcomet_qe_score,,,,,XCOMET-QE-Strict-linguapy,,,,
,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en
aya canary-v2,0.38022813688212925,3.212054210867265,3.250246745948556,0.9009216063631125,0.900462997786899,0.2771618625277162,3.499946292233705,3.5539602248572195,0.8687794371621638,0.8673762830961371,0.26246719160104987,3.506436464413414,3.560278048359138,0.8839098537750302,0.8820514186340538,0.4744958481613286,3.791013412327812,3.8717526695022664,0.8709447564444508,0.8691578908588115,0.41809198023565186,3.369253590408499,3.464351581750103,0.8999135356434667,0.8962924248878379
gemma canary-v2,0.6607929515418502,3.465995689566834,3.5954828381636856,0.8854104439329996,0.8815507623879855,0.2771618625277162,3.7141814418715278,3.7638659954830973,0.8542333749678407,0.8528376859540487,0.30621172353455817,3.6350552072636098,3.6825957759849772,0.8781967635028866,0.876794141014842,0.41518386714116245,3.9741205993513904,4.0626328538038265,0.8613983951459284,0.8592252862614316,0.4941087039148613,3.584938739612274,3.697249263491027,0.8925033571692031,0.8880663517875301
tower canary-v2,0.6607929515418502,3.405147220676822,3.5274668299974588,0.8885521781241054,0.8846733500434307,0.2771618625277162,3.504499951860725,3.5463787649826304,0.8637503329726419,0.8624973265462433,0.13123359580052493,3.547113722286408,3.5740485938619546,0.884279771042256,0.8833735469314787,0.3558718861209964,3.832046338795626,3.8958848000880804,0.8655270380967806,0.863441344279871,0.41809198023565186,3.3567204143454124,3.453756925578083,0.8993684299593188,0.8957833279390065
aya owsm4.0-ctc,0.6057268722466961,3.8617752304522215,3.993681313100759,0.8576023205991686,0.852853814398435,0.3325942350332594,3.823666671443805,3.884823815504754,0.8420834025975209,0.8404183633493346,0.3499562554680665,4.453737224519826,4.5275215880190816,0.8179776873211405,0.8154847912558811,0.41518386714116245,4.390617744884457,4.466501942980473,0.822255083378559,0.8207112372292743,0.34207525655644244,3.710241433197625,3.786019446583856,0.8773526133398102,0.8746439167208112
gemma owsm4.0-ctc,0.6607929515418502,4.111371265699685,4.236456654752535,0.8423790201618611,0.8385934057165478,0.2771618625277162,4.093890194089344,4.144244061456684,0.8258898718563422,0.8246251265652593,0.17497812773403326,4.760486978662713,4.7838043315517,0.8014154295820608,0.8006381251944362,0.3558718861209964,4.6373335947310235,4.698166130400072,0.8069901800505079,0.8054937772142943,0.45610034207525657,4.084253342330161,4.179225183391879,0.8633074172277249,0.8599061731564844
tower owsm4.0-ctc,0.6607929515418502,3.9406607205023585,4.065047107029723,0.8507007308866386,0.8465074926249617,0.3325942350332594,3.879930523110599,3.938231311887172,0.8371714283949685,0.8358584891637155,0.39370078740157477,4.585380293096457,4.655677758176808,0.8094070716300688,0.8073013422901523,0.41518386714116245,4.451340588616166,4.519104370743496,0.8215842117552126,0.8191491743640296,0.41809198023565186,3.77254819585678,3.8648041915367966,0.875353649377551,0.8717477036174918
desta2-8b,0.6057268722466961,5.51034013868724,5.619034497559661,0.6842489258287728,0.6813749254820664,0.22172949002217296,5.351291554069308,5.392654809084806,0.6537145405033079,0.6522343773105721,0.3499562554680665,5.9762904386208024,6.019973241627112,0.6447612485658517,0.6437413085313972,0.41518386714116245,6.35865201199182,6.415444335497005,0.5941279705537622,0.5931839564940002,0.5321170657544659,5.390575690137619,5.488454147623955,0.6913510199108082,0.6885700622628008
qwen2audio-7b,1.9273127753303965,4.629831360521755,4.942675344539306,0.8060682885767276,0.7941128765827759,0.7760532150776054,4.862519463767894,4.968495313961992,0.7765164819903292,0.7731984617134883,0.7436570428696413,4.805890813567664,4.931281556640137,0.805976223014784,0.801273196101293,1.6607354685646498,5.386556556127957,5.592746897789507,0.7643106766310239,0.7551490634962615,1.7863930064614217,5.134447647297577,5.46364256370344,0.7845169168881752,0.7720356799183532
phi4multimodal,10.848017621145374,5.394094870183699,6.388669190854491,0.8493035422219579,0.7563243108813852,0.9977827050997782,4.352741519406338,4.464894275591933,0.8162529499511629,0.8107447050999181,5.380577427821522,4.806342041157414,5.230060541769286,0.8450359769136183,0.798780404130683,9.905100830367735,5.707323211809777,6.601940966320631,0.8016437381265126,0.7327559663243548,11.554541999239833,5.339964143934697,6.804397168018119,0.8652067026169422,0.7579494618786997
voxtral-small-24b,0.4955947136563877,3.5171741113427712,3.6250983255747133,0.8800631503037091,0.8765154198378259,0.2771618625277162,3.7561322167647915,3.810461246237126,0.8506567567337032,0.8494659198185804,0.17497812773403326,3.6524330392571156,3.6937577199200633,0.8773125058833643,0.8759018575653682,0.29655990510083036,4.152915287051408,4.202088810459292,0.8375888404779993,0.8359009869659623,0.34207525655644244,3.680923738432266,3.762425262827875,0.882624147198627,0.8795517611553442
