system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aya_canary-v2,2.921646746347941,8.187919463087248,4.382470119521913,6.10079575596817,8.090185676392574,6.763925729442971,0.9283819628647214,1.2332316777640446,1.9637701458528938,2.3054740848254713,2.187759513756759,2.024034269830948,2.327049320711895,1.4725555607490735,1.9174471300139846,3.8577490565510804,3.2946500462562756,3.5687064323080233,3.8406807466481743,3.787405695346251,1.6667989708918,0.9572533342744883,0.9219912080356739,0.8760804557012688,0.8927239162615187,0.9398085992358407,0.9174581244291456,0.9036192716116614,0.9305792575378026,0.8522978775253232,0.8393197327377312,0.8433941589762266,0.8670708234137818,0.8619026617302661,0.8980427564218126
gemma_canary-v2,3.5856573705179287,9.395973154362416,5.710491367861885,6.23342175066313,8.753315649867375,7.824933687002653,0.3978779840848806,1.2496664609764994,2.060461059432702,2.310276177354345,2.2866867148028365,2.1449874594945966,2.499718855686031,1.5420181242259965,2.07783575243209,4.207409258276824,3.6013365462471842,3.6752462982686747,4.106305116752968,4.186851556687085,1.6407621278864795,0.9520618391345697,0.9064722204168371,0.8622527574380714,0.8689255143666457,0.9330447241861561,0.9067738054404209,0.8998456905035188,0.9222063948987806,0.8271232845699227,0.8165653485404067,0.8207982702956433,0.8596602297074283,0.842737501403144,0.8960208847170167
tower_canary-v2,3.3200531208499333,9.12751677852349,6.241699867197875,7.6923076923076925,8.753315649867375,7.6923076923076925,0.5305039787798408,1.18238536293209,1.9579791509415079,2.3755516217029586,2.233464747005258,1.9499696339196488,2.446355490404273,1.3976266535063242,1.968011756144355,4.075368385581962,3.8215652905988344,3.976876850820465,3.955952443953218,4.13668548249558,1.5286230465807318,0.9586448886915349,0.9231622468905161,0.870311089048031,0.883317690569937,0.939255702341425,0.9222010459345753,0.9086678327710939,0.9290963250446129,0.8465609631682403,0.818576340141841,0.8234940729244793,0.861467861459252,0.8563844150115071,0.9036665400712497
aya_owsm4.0-ctc,2.6560424966799467,8.053691275167784,3.718459495351926,5.305039787798409,7.029177718832891,5.570291777188329,0.9283819628647214,1.4634161657971612,2.449101170517454,2.634186805917289,2.621977138202094,2.3639510114151063,2.719647248347218,1.7291740558606719,2.031711504036489,4.246277877028357,3.4177999045269423,3.7534096852211722,3.8905759966717315,3.9042581090412103,1.9164028194700848,0.9424360774229881,0.8955817021479543,0.8573001581299827,0.8701971797000825,0.923218071559538,0.8963102481528049,0.8806292329388683,0.920634069924019,0.8298120059923038,0.8263375859554228,0.8282184742134193,0.8613507706345866,0.8502833248172894,0.8756298824690223
gemma_owsm4.0-ctc,3.9840637450199203,9.53020134228188,5.179282868525896,6.763925729442971,7.957559681697612,7.824933687002653,0.5305039787798408,1.503366023356498,2.4735030547634467,2.6904327566049013,2.7533629949622114,2.5614236954214245,2.9302679324221232,1.7604238285339717,2.353825897329634,4.615820982127182,3.760878480189192,4.214795520865119,4.273191936995923,4.590482908609849,1.879905738781357,0.938983171683542,0.8923157137412353,0.8440456979105355,0.8454432633534983,0.9257164298401113,0.8913502482998751,0.8811030618510448,0.9088988765322197,0.8143416415824987,0.8043074460222743,0.7941240960193565,0.8570701435544289,0.8275349537893854,0.8773012243665814
tower_owsm4.0-ctc,3.187250996015936,8.322147651006711,5.179282868525896,6.36604774535809,9.018567639257293,7.427055702917771,0.7957559681697612,1.5088039291094975,2.4137982569134877,2.7666885165341824,2.5249344177880086,2.3544311313655237,2.898768956345612,1.6328780935627634,2.209479170155082,4.249543497151376,3.888761422152855,3.8927544759591393,4.327741729831743,4.490692095129456,1.801341016067869,0.9446838694917729,0.905164838527273,0.8485186731870747,0.8675358556013366,0.9231851118905791,0.9027364724846828,0.8911734215658287,0.9171936222776316,0.8364887424063363,0.8070791631264199,0.8190350213856374,0.8472109236297461,0.8420138907389078,0.8837864254490134
desta2-8b,4.249667994687915,8.859060402684564,6.640106241699867,8.753315649867375,8.488063660477453,8.355437665782492,48.54111405835544,2.271162597321538,3.3439693231910668,3.7182121176722833,4.015307703542101,3.6034762925105244,4.063797746634294,6.111523805601172,3.1881711553599175,5.193448917637736,5.078752971107108,5.731255809902473,5.388627623625356,5.767709929881425,13.75567332793037,0.8900767806496912,0.81941783593205,0.6709806444061547,0.7018023765885545,0.8578076241167376,0.8066912133552984,0.4886034690535353,0.8579500659528482,0.7562999212301817,0.6297005640063311,0.6482605132958618,0.7858621342310222,0.741968253167934,0.3946193514554823
qwen2audio-7b,9.296148738379815,12.348993288590604,9.694555112881806,12.599469496021221,11.405835543766578,11.405835543766578,2.2546419098143233,3.228152861113686,4.430894122117718,4.973622263576168,5.137723627754682,5.1450432572484175,4.78203710168106,2.4415894229884016,4.890815374064216,6.705867949918212,6.619450371489819,7.240638608705815,7.229337996380794,6.829046520708371,2.793183775841004,0.8790020183678642,0.8116444934634555,0.7485174773876886,0.7568698082445313,0.8136540963178605,0.8300229409111748,0.8267026423162902,0.8011907286457173,0.7121081280428291,0.6710587561150313,0.6648293008597997,0.7233674676214352,0.7398558636677677,0.8093589241233523
phi4multimodal,54.8472775564409,54.63087248322148,88.18061088977423,43.63395225464191,71.22015915119363,58.22281167108754,48.93899204244032,8.939186686667234,8.620234907003457,14.026674472478282,7.736562031298995,11.28607574009413,9.585391185446506,7.982173553141777,14.56978014266863,14.875227408571131,22.510862383472016,12.792776079235761,19.052263983394408,16.230966583645312,13.234269451740289,0.9588556917282848,0.9359248957077929,0.9497092516516468,0.9048604290902773,0.9359163337088232,0.9179475969617658,0.9174966544051227,0.428144889682096,0.415728932839112,0.09653270146642548,0.4923863664111345,0.25151405878740535,0.3638710100549602,0.44874572738095997
voxtral-small-24b,4.116865869853918,10.46979865771812,5.9760956175298805,7.294429708222812,8.488063660477453,7.029177718832891,0.7957559681697612,1.1474361194626665,1.9078428288284164,2.202532875377581,1.9659928836580614,1.9530761647149328,2.349195972989148,1.3877272686972937,2.0701227265238207,4.273071613532784,3.5686296294152657,3.578752225946724,3.8442266152712175,3.89999879631325,1.5598528544697663,0.9586049187211085,0.9155131965475595,0.8790314498630811,0.8743845035744441,0.9458718406189658,0.9189849909424623,0.9015229502964557,0.9233518793862338,0.828811198913011,0.8313619982139523,0.8159466895030253,0.8686009165423302,0.8618686352844106,0.8959390108698401
