system,LinguaPy,,,,metricx_qe_score,,,,QEMetricX_24-Strict-linguapy,,,,xcomet_qe_score,,,,XCOMET-QE-Strict-linguapy,,,
,es-en,de-en,fr-en,zh-en,es-en,de-en,fr-en,zh-en,es-en,de-en,fr-en,zh-en,es-en,de-en,fr-en,zh-en,es-en,de-en,fr-en,zh-en
gemma whisper,0.3125,0.0,0.0,0.45420136260408783,85.03492258153855,84.26269239707281,83.0604153044449,83.66557698440226,84.72538736127316,84.26269239707281,83.0604153044449,83.40648940379289,0.9064895282499492,0.9079830926536714,0.8874502367421936,0.8640344282111645,0.9033951851539314,0.9079830926536714,0.8874502367421936,0.8623547346460196
owsm4.0-ctc,0.3125,1.342281879194631,0.0,1.968205904617714,63.67452974170446,53.08402829042217,61.379661763529825,36.447683615724216,63.54413788169622,52.64109586709298,61.379661763529825,36.04385587918226,0.6040369707872741,0.5157589495007023,0.5949111801453832,0.4358050115293711,0.6039080328671844,0.5109238134159538,0.5949111801453832,0.43233766460637535
phi4multimodal,6.25,4.3624161073825505,1.3029315960912053,6.813020439061317,81.25772807076574,84.2280922472077,83.7998008192168,83.48944829477675,79.10147396102548,81.54635352816358,82.86550569145999,78.61355657445762,0.8930301235988736,0.9160741364095835,0.9173243483134124,0.8908937195320187,0.8410325945354998,0.874404883274696,0.9097481020013362,0.8346221723468984
qwen2audio-7b,1.5625,2.684563758389262,0.9771986970684038,2.8009084027252085,81.61186426468194,78.78280774618955,81.5252563184558,83.61806088568676,80.4565389264375,76.64783223603396,80.71772457955326,81.60250891504822,0.8407591361319646,0.8054318690309988,0.8490944314711645,0.874798890228618,0.8298249259591103,0.7874443042248287,0.8437856850775522,0.8533021237117426
seamlessm4t,0.0,0.0,0.0,0.6056018168054504,82.33483391366899,82.57560474040524,81.18176150088978,71.78925528488405,82.33483391366899,82.57560474040524,81.18176150088978,71.60932717595833,0.8642408940009773,0.8878015520788679,0.8822411937997084,0.7894265120010048,0.8642408940009773,0.8878015520788679,0.8822411937997084,0.7857970194291833
tower canary-v2,0.0,0.0,0.0,38.60711582134746,85.62770468667149,86.17169260498662,84.43745415140829,23.646777910864955,85.62770468667149,86.17169260498662,84.43745415140829,16.281307854136216,0.9116937033832073,0.9236552402277121,0.9157865841050878,0.27173193823228914,0.9116937033832073,0.9236552402277121,0.9157865841050878,0.20172072057369012
tower owsm4.0-ctc,0.3125,0.0,0.32573289902280134,0.3785011355034065,84.17271267734468,81.61541004548937,77.84321544768368,70.37032909392408,83.96147077642381,81.61541004548937,77.64780135496432,70.22468854382036,0.8907732910010964,0.8753464312461399,0.8155851683879715,0.7449916903970144,0.8900022618006915,0.8753464312461399,0.8142634509222321,0.7435478045605828
tower seamlessm4t,0.0,0.0,0.0,0.6056018168054504,83.4175114057958,84.58038915763765,82.71324208157122,77.31436961257575,83.4175114057958,84.58038915763765,82.71324208157122,76.92192446269563,0.8576726718107238,0.9046686821735945,0.8688589111586248,0.8070179674489583,0.8576726718107238,0.9046686821735945,0.8688589111586248,0.8031610662821204
tower whisper,0.0,0.0,0.0,0.0757002271006813,85.68574670515954,85.03703080167706,83.6119990255623,83.96390314926983,85.68574670515954,85.03703080167706,83.6119990255623,83.91017609387974,0.9127256756648421,0.920030634175211,0.900994521495962,0.8733561093595378,0.9127256756648421,0.920030634175211,0.900994521495962,0.8732455891051544
voxtral-small-24b,1.25,2.013422818791946,1.9543973941368076,1.2869038607115821,87.83175046779215,87.68937752950912,86.22489241008262,88.15009734180053,86.6862778801471,85.90374463436588,84.51174199852959,86.9852653625312,0.9380513641051949,0.9404005555298505,0.9356336360645605,0.922019230606518,0.9258577509783208,0.9211792932860803,0.9168806967207197,0.9107779722652319
